253	el+tompul
251	el+bambul
250	szilárdul
248	meg+fiatalodik
247	zöldül
244	rá+mordul
242	fel+dúsul
239	vastagodik
239	le+barnul
238	bambul
236	halványodik
235	le+betegedik
233	teljesedik
233	el+puhul
232	le+soványodik
232	fel+újul
231	fehéredik
226	tökéletesedik
226	le+pusztul
224	össze+épül
223	ki+lazul
220	el+magyarosodik
217	közül
217	el+fehéredik
214	újra+nősül
213	újul
213	át+forrósodik
212	meg+nehezedik
211	le+konyul
211	halkul
210	meg+bokrosodik
207	el+kerekedik
204	silányul
201	be+párásodik
200	hozzá+simul
199	el+ferdül
199	be+sárgul
198	el+kábul
197	el+szemtelenedik
196	meg+igazul
195	fel+lelkesül
195	el+hülyül
194	ki+fényesedik
193	ki+vörösödik
193	idősödik
192	vörösödik
192	hígul
192	el+nehezedik
190	be+szabadul
188	forrósodik
188	el+fásul
186	meg+sűrűsödik
184	át+épül
182	meg+kövesedik
182	ki+élesedik
179	nehezül
179	csúful
179	be+gyorsul
178	tovább+épül
178	meg+világosul
176	meg+pusztul
174	vakul
172	meg+kergül
172	le+alacsonyodik
171	bele+szerelmesedik
169	egységesül
166	újra+egyesül
165	fényesedik
165	be+népesedik
163	vadul
163	el+butul
162	ráncosodik
162	meg+termékenyül
160	be+házasodik
159	soványodik
159	rá+szabadul
155	meg+sárgul
155	fel+púposodik
154	feketedik
153	kedvesedik
152	nemesedik
152	meg+részegül
152	ki+sebesedik
152	kékül
151	be+rozsdásodik
150	el+kékül
149	vénül
149	nemesül
148	hűvösödik
147	meg+izmosodik
147	fel+magasodik
146	újra+házasodik
146	fel+üdül
145	lelkesül
145	komolyodik
144	keskenyedik
144	el+feketedik
144	bénul
142	pirosodik
142	lágyul
141	el+korcsosul
140	be+vadul
139	le+gyorsul
137	el+csökevényesedik
135	meg+részegedik
135	dánul
134	meg+kukul
133	el+görbül
133	be+nősül
132	sötétül
132	ízesül
131	szarul
130	finomul
130	észtül
130	büdösödik
129	tovább+gyengül
128	sebesül
128	bele+szürkül
128	be+lelkesedik
127	el+bátortalanodik
127	csúcsosodik
126	ki+pirosodik
125	össze+kutyul
125	ismerősödik
125	el+keskenyedik
124	túl+teljesül
123	ki+melegedik
123	el+sárgul
123	el+csöndesül
122	neki+bátorodik
122	józanodik
122	el+satnyul
121	törpül
121	kamaszodik
120	el+meszesedik
120	el+homályosodik
116	polgárosodik
116	károsul
115	meg+tollasodik
114	le+halkul
114	ki+teljesül
113	meg+csendesedik
113	el+magányosodik
113	el+jegesedik
113	bele+őszül
112	össze+simul
111	el+jelentéktelenedik
110	merevül
110	meg+kopaszodik
110	fásul
109	bele+vakul
108	vissza+gyengül
107	rá+simul
107	le+sántul
107	érdemesül
106	karcsúsodik
106	csomósodik
105	meg+okosodik
105	meg+mámorosodik
105	magasztosul
105	fel+tisztul
104	le+csendesül
104	csendesül
103	vendül
103	tárgyiasul
103	ferdül
103	fel+lelkesedik
102	vizesedik
102	le+merevedik
102	el+gyávul
101	butul
100	újra+épül
100	be+durvul
98	rosszabbul
98	púposodik
98	oda+simul
98	nedvesedik
97	tömörödik
96	súlyosodik
96	gyérül
96	ellen+készül
95	meg+kékül
94	le+görbül
94	el+nőiesedik
94	el+mocsarasodik
93	tovább+bővül
93	mérgesedik
93	el+tunyul
92	vissza+épül
91	hatályosul
90	korosodik
90	haza+készül
89	véglegesedik
89	bele+merevedik
88	előre+készül
88	bele+hülyül
87	túl+népesedik
87	el+rozsdásodik
87	alacsonyodik
86	zsírosodik
86	el+gazosodik
85	meg+csúnyul
85	meg+boldogul
85	ki+terebélyesedik
85	ki+magasodik
84	párásodik
84	laposodik
84	el+sivatagosodik
84	bokrosodik
83	tornyosodik
83	ki+finomul
83	hozzá+igazodik
83	fel+hólyagosodik
83	el+iszaposodik
82	meg+sötétedik
82	aljasul
81	össze+csomósodik
81	meg+rozsdásodik
81	ki+hegyesedik
81	el+fakul
80	meg+szürkül
80	konyul
80	el+merevedik
79	rútul
79	csonkul
78	neki+készül
78	ki+színesedik
78	ki+érdemesül
78	el+búsul
77	meg+zöldül
77	el+románosodik
76	olcsóbbodik
75	hozzá+készül
75	el+lehetetlenedik
74	össze+tömörül
74	el+erőtlenedik
74	be+pirosodik
73	be+barnul
72	fel+magasztosul
72	épül-szépül
72	el+üszkösödik
72	be+zöldül
72	baszkul
71	lombosodik
71	fel+világosul
71	el+rákosodik
70	göndörödik
70	be+merevedik
69	szervesül
69	grúzul
67	vissza+fiatalodik
67	össze+melegedik
67	el+szlovákosodik
67	elevenedik
66	tollasodik
66	feketül
66	be+gyepesedik
65	meg+büdösödik
65	kutyul
65	bele+vörösödik
65	be+gorombul
64	tovább+mélyül
64	ki+merevedik
64	jogosul
64	be+simul
63	betegedik
62	ki+okosodik
62	dúsul
62	be+felhősödik
61	vissza+részesül
61	üszkösödik
61	ügyesedik
60	meg+sántul
60	kövesedik
60	el+szenesedik
60	be+lelkesül
59	meg+avasodik
59	marhul
59	fel+tornyosul
59	el+csontosodik
58	tovább+készül
58	silányodik
58	neki+vadul
57	véglegesül
